Price,Close
Ticker,AAPL
Date,
2020-01-02,72.4682846069336
2020-01-03,71.76373291015625
2020-01-06,72.33556365966797
2020-01-07,71.99535369873047
2020-01-08,73.15348815917969
2020-01-09,74.70732879638672
2020-01-10,74.876220703125
2020-01-13,76.47591400146484
2020-01-14,75.4432373046875
2020-01-15,75.11992645263672
2020-01-16,76.06089782714844
2020-01-17,76.9029769897461
2020-01-21,76.38180541992188
2020-01-22,76.65447235107422
2020-01-23,77.02361297607422
2020-01-24,76.80166625976562
2020-01-27,74.54326629638672
2020-01-28,76.65204620361328
2020-01-29,78.25655364990234
2020-01-30,78.14315795898438
2020-01-31,74.67838287353516
2020-02-03,74.4732894897461
2020-02-04,76.93194580078125
2020-02-05,77.55925750732422
2020-02-06,78.46646881103516
2020-02-07,77.39989471435547
2020-02-10,77.76753234863281
2020-02-11,77.29833221435547
2020-02-12,79.13397979736328
2020-02-13,78.5704574584961
2020-02-14,78.58982849121094
2020-02-18,77.15078735351562
2020-02-19,78.26815032958984
2020-02-20,77.46519470214844
2020-02-21,75.7117691040039
2020-02-24,72.11544036865234
2020-02-25,69.6727294921875
2020-02-26,70.77796936035156
2020-02-27,66.15135955810547
2020-02-28,66.1126708984375
2020-03-02,72.26778411865234
2020-03-03,69.97260284423828
2020-03-04,73.21829223632812
2020-03-05,70.8432846069336
2020-03-06,69.90248107910156
2020-03-09,64.37374877929688
2020-03-10,69.0100326538086
2020-03-11,66.61328887939453
2020-03-12,60.0349235534668
2020-03-13,67.22760772705078
2020-03-16,58.5789680480957
2020-03-17,61.15470504760742
2020-03-18,59.657630920410156
2020-03-19,59.200531005859375
2020-03-20,55.442161560058594
2020-03-23,54.264339447021484
2020-03-24,59.70842742919922
2020-03-25,59.379512786865234
2020-03-26,62.504234313964844
2020-03-27,59.91642379760742
2020-03-30,61.62630844116211
2020-03-31,61.500545501708984
2020-04-01,58.26456069946289
2020-04-02,59.236812591552734
2020-04-03,58.38549041748047
2020-04-06,63.47890090942383
2020-04-07,62.74367141723633
2020-04-08,64.34956359863281
2020-04-09,64.81391906738281
2020-04-13,66.08607482910156
2020-04-14,69.4236068725586
2020-04-15,68.78997802734375
2020-04-16,69.33653259277344
2020-04-17,68.395751953125
2020-04-20,66.97606658935547
2020-04-21,64.90580749511719
2020-04-22,66.77533721923828
2020-04-23,66.51654052734375
2020-04-24,68.43687438964844
2020-04-27,68.4852294921875
2020-04-28,67.3751220703125
2020-04-29,69.58807373046875
2020-04-30,71.05612182617188
2020-05-01,69.91215515136719
2020-05-04,70.90133666992188
2020-05-05,71.96549224853516
2020-05-06,72.70796966552734
2020-05-07,73.46012878417969
2020-05-08,75.20860290527344
2020-05-11,76.39205169677734
2020-05-12,75.51901245117188
2020-05-13,74.60719299316406
2020-05-14,75.06552124023438
2020-05-15,74.62174224853516
2020-05-18,76.37989807128906
2020-05-19,75.93856048583984
2020-05-20,77.41542053222656
2020-05-21,76.8382568359375
2020-05-22,77.33295440673828
2020-05-26,76.80914306640625
2020-05-27,77.14379119873047
2020-05-28,77.177734375
2020-05-29,77.10257720947266
2020-06-01,78.05079650878906
2020-06-02,78.41209411621094
2020-06-03,78.84378814697266
2020-06-04,78.1647720336914
2020-06-05,80.39094543457031
2020-06-08,80.86628723144531
2020-06-09,83.41986083984375
2020-06-10,85.5660629272461
2020-06-11,81.45801544189453
2020-06-12,82.16128540039062
2020-06-15,83.17737579345703
2020-06-16,85.3817367553711
2020-06-17,85.2629165649414
2020-06-18,85.2968978881836
2020-06-19,84.8094482421875
2020-06-22,87.02838134765625
2020-06-23,88.88599395751953
2020-06-24,87.31696319580078
2020-06-25,88.47613525390625
2020-06-26,85.75762176513672
2020-06-29,87.73406982421875
2020-06-30,88.4664306640625
2020-07-01,88.29911041259766
2020-07-02,88.29911041259766
2020-07-06,90.6611328125
2020-07-07,90.37981414794922
2020-07-08,92.48478698730469
2020-07-09,92.88249206542969
2020-07-10,93.04497528076172
2020-07-13,92.61573791503906
2020-07-14,94.14838409423828
2020-07-15,94.79586791992188
2020-07-16,93.62939453125
2020-07-17,93.44026947021484
2020-07-20,95.40941619873047
2020-07-21,94.09260559082031
2020-07-22,94.35693359375
2020-07-23,90.0621337890625
2020-07-24,89.8390121459961
2020-07-27,91.96824645996094
2020-07-28,90.45742797851562
2020-07-29,92.19133758544922
2020-07-30,93.3069076538086
2020-07-31,103.07505798339844
2020-08-03,105.67228698730469
2020-08-04,106.37799072265625
2020-08-05,106.7635726928711
2020-08-06,110.48845672607422
2020-08-07,107.97643280029297
2020-08-10,109.54586029052734
2020-08-11,106.28797149658203
2020-08-12,109.82038879394531
2020-08-13,111.7639389038086
2020-08-14,111.66431427001953
2020-08-17,111.372802734375
2020-08-18,112.30081939697266
2020-08-19,112.44174194335938
2020-08-20,114.93675231933594
2020-08-21,120.8597640991211
2020-08-24,122.30526733398438
2020-08-25,121.30191802978516
2020-08-26,122.95149993896484
2020-08-27,121.48168182373047
2020-08-28,121.28489685058594
2020-08-31,125.39791870117188
2020-09-01,130.39288330078125
2020-09-02,127.69132995605469
2020-09-03,117.46824645996094
2020-09-04,117.54598999023438
2020-09-08,109.63572692871094
2020-09-09,114.00874328613281
2020-09-10,110.28682708740234
